pl_name,hostname,sy_snum,sy_pnum,discoverymethod,disc_year,disc_facility,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,pl_bmasselim,pl_insol,pl_insolerr1,pl_insolerr2,pl_insollim,pl_eqt,pl_eqterr1,pl_eqterr2,pl_eqtlim,ttv_flag,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_rad,st_raderr1,st_raderr2,st_radlim,st_mass,st_masserr1,st_masserr2,st_masslim,st_logg,st_loggerr1,st_loggerr2,st_logglim
CFBDSIR J145829+101343 b,CFBDSIR J145829+101343,1,1,Imaging,2011,W. M. Keck Observatory,10037.5,2737.5,-2737.5,0,12.4,,,0,3337.1,1430.2,-1430.2,0,,,,,370,40,-40,0,0,580.5,24.5,-24.5,0,,,,,0.02,0.01,-0.01,0,4.72,0.28,-0.28,0
CFHTWIR-Oph 98 b,CFHTWIR-Oph 98 A,1,1,Imaging,2021,Hubble Space Telescope,8040000,470000,-470000,0,20.849,0.56,-0.56,0,2479.06157,222.47988,-254.26273,0,,,,,1800,40,-40,0,0,2320,40,-40,0,0.24,0.01,-0.01,0,0.01,0,0,0,3.85,0.01,-0.01,0
CHXR 73 b,CHXR 73,1,1,Imaging,2006,Hubble Space Telescope,,,,,12.3,,,0,3994.486,2662.991,-1664.369,0,,,,,,,,,0,3099,128,-128,0,,,,,0.35,,,0,,,,
CI Tau b,CI Tau,1,1,Radial Velocity,2019,Multiple Observatories,8.9891,0.0202,-0.0202,0,12.4,,,0,3686.828,921.707,-858.141,0,,,,,,,,,0,3807,131,-131,0,1.88,0.09,-0.42,0,0.9,0.02,-0.02,0,,,,
COCONUTS-2 b,COCONUTS-2 A,1,1,Imaging,2021,NASA Infrared Telescope Facility (IRTF),402000000,470000000,-100000000,0,12.442,0.336,-0.336,0,2002.31896,476.74261,-603.87397,0,,,,,434,9,-9,0,0,3406,69,-69,0,0.39,0.01,-0.01,0,0.37,0.02,-0.02,0,4.83,0.03,-0.03,0
CT Cha b,CT Cha,1,1,Imaging,2007,Paranal Observatory,,,,,24.66,9.08,-6.73,0,5403,1907,-1907,0,,,,,2600,250,-250,0,0,4403,6,-10,0,1.68,0.1,-0.16,0,,,,,3.66,0.01,-0.01,0
CoRoT-1 b,CoRoT-1,1,1,Transit,2008,CoRoT,1.5089557,0.0000064,-0.0000064,0,16.7,0.9,-0.9,0,327.35,38.14,-38.14,0,,,,,1898,50,-50,0,0,5950,150,-150,0,1.11,0.05,-0.05,0,0.95,0.15,-0.15,0,4.25,0.3,-0.3,0
CoRoT-10 b,CoRoT-10,1,1,Transit,2010,CoRoT,13.2406,0.0002,-0.0002,0,10.87,0.78,-0.78,0,874,50.85,-50.85,0,,,,,600,23,-23,0,0,5075,75,-75,0,0.79,0.05,-0.05,0,0.89,0.05,-0.05,0,4.65,0.1,-0.1,0
CoRoT-11 b,CoRoT-11,1,1,Transit,2010,CoRoT,2.99433,0.000011,-0.000011,0,16.03,0.34,-0.34,0,740.51,108.06,-108.06,0,,,,,1657,55,-55,0,0,6440,120,-120,0,1.37,0.03,-0.03,0,1.27,0.05,-0.05,0,4.22,0.23,-0.23,0
CoRoT-12 b,CoRoT-12,1,1,Transit,2010,CoRoT,2.828042,0.000013,-0.000013,0,16.14,1.46,-1.46,0,291.438,22.247,-20.658,0,,,,,1442,58,-58,0,0,5675,80,-80,0,1.12,0.1,-0.09,0,1.08,0.08,-0.07,0,4.38,0.07,-0.06,0
CoRoT-13 b,CoRoT-13,1,1,Transit,2010,CoRoT,4.03519,0.00003,-0.00003,0,9.92,0.157,-0.157,0,415.704,20.976,-20.976,0,,,,,1700,,,0,0,5945,90,-90,0,1.01,0.03,-0.03,0,1.09,0.02,-0.02,0,4.46,0.05,-0.05,0
CoRoT-14 b,CoRoT-14,1,1,Transit,2010,CoRoT,1.51214,0.00013,-0.00013,0,12.22,0.78,-0.78,0,2415.4,190.7,-190.7,0,,,,,1952,66,-66,0,0,6035,100,-100,0,1.21,0.08,-0.08,0,1.13,0.09,-0.09,0,4.35,0.15,-0.15,0
CoRoT-16 b,CoRoT-16,1,1,Transit,2011,CoRoT,5.35227,0.0002,-0.0002,0,13.11,1.79,-1.57,0,170.032,27.014,-26.379,0,,,,,,,,,0,5650,100,-100,0,1.19,0.14,-0.13,0,1.1,0.08,-0.08,0,4.36,0.1,-0.1,0
CoRoT-17 b,CoRoT-17,1,1,Transit,2011,CoRoT,3.7681,0.0003,-0.0003,0,11.43,0.78,-0.78,0,772.29,95.34,-95.34,0,,,,,1626,31,-31,0,0,5740,80,-80,0,1.59,0.07,-0.07,0,1.04,0.1,-0.1,0,4.4,0.1,-0.1,0
